_RAJ2000;_DEJ2000;Vmag;Sp;Rad;r_Diam
267.0667;+70.8667;14.20;DXP           ; 1.0e-02;S5
273.3792;+32.8067;16.40;DA7           ; 2.1e-02;G22
289.7417;+38.7267;14.60;DC            ; 9.5e-03;S5
289.7417;+38.7267;14.58;DC7           ; 1.7e-02;G22
315.5125;+19.2183;16.40;DAWK          ; 1.4e-02;S5
045.7212; -1.1425;15.56;DBZ4          ; 1.4e-02;G22
162.1375; -2.0200;15.81;DB5           ; 1.6e-02;G22
196.8542;+14.7417;17.06;DB4           ; 1.4e-02;G22
000.6650;-34.2228;14.90;DC9           ; 2.0e-02;G22
120.0042;+43.5867;16.28;DC6           ; 7.0e-03;G22
161.4917;+59.0667;17.73;DQ8           ; 2.0e-02;G22
257.0292; +2.9633;15.21;DZ7           ; 1.5e-02;G22
358.7375;+40.4567;15.13;DQ6           ; 1.4e-02;G22
348.6146; -6.5408;15.37;DQ6           ; 1.3e-02;G22
038.7817; +3.7325; 8.07;DA1           ; 2.7e-02;C34
        ;        ;10.01;M4            ; 7.4e-01;L12
        ;        ;10.39;M4            ; 6.2e-01;L12
074.3375;+41.9350;10.79;DA            ; 2.0e-02;C34
205.4667;+25.9700;10.89;DB            ; 1.0e-02;C34
226.4250; -7.2500;13.86;DA            ; 1.2e-02;C34
227.8667;+32.0700;10.82;DAN           ; 1.2e-02;C34
280.8583; +4.3400;12.95;DASS          ; 9.1e-03;C34
295.0917;+33.0050;10.91;DA            ; 1.1e-02;C34
303.0958;+31.2283;12.56;DXH2          ; 5.3e-03;C34
204.0167;+48.4389;11.35;DB+DM         ; 1.3e-02;C34
218.6750;+53.5917; 9.40;DA+DK         ; 2.7e-02;C34
003.3158;+69.3269;12.60;M5            ; 3.8e-01;J3
003.3250;+69.3000;12.90;              ; 3.6e-01;J3
003.9583;+13.5550;13.80;M5            ; 3.4e-01;J3
004.5692;+10.2028;10.40;M0V           ; 6.6e-01;J3
006.7196;+70.1425;10.20;M0V           ; 5.6e-01;J3
009.7458;+30.6150;11.02;M4V           ; 4.6e-01;J3
012.2912; +5.3886;12.37;F3WD          ; 1.0e-02;J3
012.8742;+58.3019;11.50;M2V           ; 4.6e-01;J3
015.3296;+61.3708;10.70;M2V           ; 4.9e-01;J3
015.6342;+71.6797;10.06;              ;        ;O6
015.6342;+71.6797;10.06;M3.5          ; 5.1e-01;P30
015.6342;+71.6797;10.06;M4VE          ; 4.8e-01;J3
015.8000;+62.3650;13.66;M5VE          ; 2.1e-01;J3
015.8000;+62.3650;13.66;M7E           ; 2.6e-01;P30
015.8000;+62.3650;13.66;M7E           ; 2.1e-01;L6
015.8000;+62.3650;13.66;M7E           ; 2.8e-01;C36
024.5875;+57.2317;11.20;M4            ; 4.3e-01;J3
024.4971; -4.9958;12.84;AWD           ; 2.0e-02;J3
024.7542;-17.9500;12.50;M5.5E         ; 1.6e-01;L6
024.7542;-17.9500;12.45;M5.5          ; 1.4e-01;P30
024.7542;-17.9500;12.50;M6VE          ; 1.4e-01;J3
024.7542;-17.9500;13.00;M4VE          ; 1.4e-01;J3
025.8342; +4.3217;10.95;M2V           ; 4.0e-01;J3
026.2417;+16.3450;16.00;M4            ; 2.2e-01;J3
027.9529;-10.8033;11.20;M4            ; 4.2e-01;J3
029.8479;+58.5211;12.10;M5E           ; 3.6e-01;J3
030.0417;+13.0517;12.26;M8E           ; 2.3e-01;C36
031.8475;-66.5700;13.50;M             ; 4.0e-01;J3
033.2125;-17.6867;11.90;M             ; 6.4e-01;J3
034.7625;+35.3533;14.50;M4            ; 3.5e-01;J3
037.8708;+57.3800;15.00;M5            ; 2.8e-01;J3
038.4042;+24.9233;13.08;M6            ; 1.6e-01;L6
038.4042;+24.9233;14.60;M6            ; 2.2e-01;J3
038.4042;+24.9233;12.96;M6            ; 2.6e-01;C36
038.9721;+20.2200;12.70;M2V           ; 5.1e-01;J3
041.0646;+25.5233;10.58;              ;        ;O6
041.0646;+25.5233;10.58;M4V           ; 4.0e-01;L6
041.0646;+25.5233;10.58;M4V           ; 4.1e-01;J3
041.0646;+25.5233;10.58;M4V           ; 4.2e-01;P30
043.0925;-63.6797;12.40;M             ; 4.6e-01;J3
044.1471;+55.4417;10.40;M1            ; 5.9e-01;J3
044.1433;+55.4372;11.90;M3            ; 4.4e-01;J3
003.3250;+69.3000;12.60;M6            ; 2.9e-01;C36
044.3833;+10.7917;12.00;M4V           ; 4.4e-01;J3
047.2687;+76.0411; 9.76;M0V           ; 6.8e-01;J3
047.3783;+45.7328;10.10;M3V           ; 5.7e-01;J3
048.3375;+18.8400;14.32;M0VI          ; 9.0e-02;J3
050.3408;+79.9672;11.30;M2            ; 4.1e-01;J3
051.0271;+23.7850;10.38;M0V           ; 6.2e-01;J3
059.9687;+26.0903;12.22;M4            ; 3.6e-01;C36
062.1558;+33.6369;10.20;M1            ; 5.7e-01;J3
062.3154;-53.3736;12.30;M             ; 5.1e-01;J3
062.3154;-53.3736;11.80;M4.5          ; 4.4e-01;D24
063.2458;+52.6100;13.20;M5            ; 3.1e-01;J3
063.2917;+50.5267; 9.09;M0.5          ; 6.9e-01;D24
063.2917;+50.5267;15.50;M5            ; 2.6e-01;J3
067.8350;+58.9492;11.00;M4            ; 3.6e-01;C36
067.6000;+39.8533;13.70;M7            ; 2.2e-01;J3
067.6000;+39.8533;13.70;M7            ; 1.7e-01;L6
067.6000;+39.8533;14.29;M7            ; 2.7e-01;C36
073.0238; +6.4767;12.00;M5E           ; 3.8e-01;J3
073.0238; +6.4767;11.95;M3.5          ; 3.8e-01;D24
073.4583;-17.7733;12.50;M3            ; 4.5e-01;J3
074.8950; +1.7836; 9.60;M1            ; 5.1e-01;P30
074.8950; +1.7836; 9.60;M1VE          ; 6.6e-01;J3
074.8950; +1.7836;10.09;M0.5E         ; 6.5e-01;D24
075.8413;-23.2503; 9.29;M0V           ; 6.9e-01;J3
077.1458;-18.1719;12.10;M5            ; 4.7e-01;J3
077.1458;-18.1719;10.26;M5            ; 7.0e-01;D24
077.1458;-18.1719;10.31;M5.5          ; 1.3e+00;C36
078.1758;+19.6656;11.30;M5            ; 4.6e-01;J3
078.1758;+19.6656;11.30;M5            ; 5.5e-01;C36
082.0008; +9.6439;12.48;M5            ; 2.7e-01;J3
082.4662; -3.4419;11.99;M4.5          ; 4.8e-01;D24
083.0612; +9.8208;11.50;M4VE          ; 4.4e-01;J3
083.2604;+29.3889;11.00;K7            ; 6.7e-01;J3
085.5387;+12.4894;11.60;              ;        ;O6
085.5387;+12.4894;11.60;M4VI          ; 2.2e-01;J3
085.5387;+12.4894;11.60;M5.5IV        ; 3.2e-01;L6
085.5387;+12.4894;11.43;M5            ; 2.4e-01;D24
085.5387;+12.4894;11.48;SDM5.5        ; 3.2e-01;C36
086.9192;-36.3286;10.71;M3            ; 4.0e-01;D24
088.3067;+24.2631;12.20;M2            ; 5.4e-01;J3
092.5825;+82.1067;10.50;M2V           ; 4.6e-01;J3
096.1667;+23.4383;13.30;M6            ; 2.2e-01;J3
096.1667;+23.4383;13.30;M6            ; 2.0e-01;L6
096.1667;+23.4383;13.06;M6            ; 2.6e-01;C36
097.3500; -2.8150;11.08;M4.5E         ; 2.2e-01;D24
097.3500; -2.8150;14.60;M7E           ; 3.2e-01;C36
097.3475; -2.8139;11.07;              ;        ;O6
097.3475; -2.8139;11.07;M4VE          ; 2.5e-01;J3
097.3475; -2.8139;11.07;M7            ; 2.8e-01;P30
097.3500; -2.8150;14.40;              ; 1.3e-01;J3
098.4583;-58.5283;12.90;M             ; 4.3e-01;J3
098.4583;-58.5283;11.58;M2.5          ; 4.0e-01;D24
099.2967;-50.0383; 9.62;K0            ; 7.0e-01;D24
101.9083;+37.5158;12.08;AWD           ; 1.0e-02;J3
103.7042;+33.2681; 9.90;M4V           ; 3.8e-01;L6
103.7042;+33.2681; 9.90;M4V           ; 4.1e-01;J3
104.4250;-44.2833;10.76;M3.5          ; 2.8e-01;D24
106.1079;+68.2889;12.80;M5            ; 5.0e-01;J3
106.0737;-10.5089;11.40;M5            ; 4.8e-01;J3
106.7887; +3.4475;10.00;M0V           ; 6.8e-01;J3
107.5075;+38.5294;11.47;M5E           ; 3.0e-01;L6
107.5075;+38.5294;11.47;M5VE          ; 2.9e-01;J3
107.5075;+38.5294;11.47;M5E           ; 3.9e-01;C36
110.8121;+46.0875;10.53;M2V           ; 5.8e-01;J3
115.0875;-17.4150;13.00;FWD           ; 1.0e-02;J3
116.1675; +3.5525;11.20;M4.5VE        ; 3.0e-01;L6
116.1675; +3.5525;11.20;M4VE          ; 3.1e-01;J3
116.1675; +3.5525;11.12;M4.5E         ; 4.0e-01;C36
117.0683;+20.3681;11.40;M2            ; 4.4e-01;J3
119.5183;-25.6267; 8.47;K6            ; 8.5e-01;D24
122.9917; +8.7717;12.77;M5V           ; 2.2e-01;J3
122.9917; +8.7717;12.77;M5V           ; 1.9e-01;L6
123.1708;-21.5522;13.00;M4            ; 3.8e-01;C36
126.7537;+21.9569;10.40;M0V           ; 6.9e-01;J3
127.0921;+35.0164;11.50;M0V           ; 5.1e-01;J3
127.0750;+35.0167;11.60;              ; 5.0e-01;J3
133.5250;-13.1250;11.90;M4            ; 2.4e-01;D24
133.5225;-13.1250;12.40;M6            ; 3.4e-01;J3
133.5250;-13.1250;12.70;              ; 3.2e-01;J3
134.8817;-47.4356;14.40;M3            ; 3.1e-01;J3
134.8817;-47.4356;12.14;M2            ; 2.5e-01;D24
135.2096; +5.2417;12.26;M4.5          ; 4.6e-01;D24
135.2125; +5.2433;12.73;M4.5          ; 3.8e-01;D24
141.3958;+18.6717;14.30;M2            ; 3.5e-01;J3
142.2229; -7.3708;12.10;M5            ; 3.8e-01;C36
142.2229; -7.3708;11.60;M5            ; 4.5e-01;J3
142.7250;+26.9667;10.60;M0V           ; 8.6e-01;J3
144.0067;-21.6608;12.70;K             ; 3.6e-01;J3
144.9433;-41.0675;10.73;M3E           ; 4.2e-01;D24
145.2500;+22.0267;15.70;M6            ; 2.0e-01;J3
145.2500;+22.0267;14.20;M6            ; 2.6e-01;C36
145.6450;+70.0339;10.60;M3            ; 5.1e-01;J3
145.2933;+13.2094;10.40;M2V           ; 5.3e-01;J3
145.7154;+70.0394;11.30;M4            ; 4.1e-01;J3
145.5875;+55.9817;14.20;M5            ; 3.4e-01;J3
146.7021;+76.0439;10.80;M2            ; 5.4e-01;J3
149.6429;-46.4250;11.27;M3.5E         ; 6.7e-01;D24
153.0196; -2.6847;10.80;M0V           ; 4.1e-01;J3
153.0196; -2.6847;10.61;M2.5          ; 4.3e-01;D24
154.1912;-11.9617;11.20;K             ; 3.8e-01;J3
155.6025;-60.1772;11.60;M             ; 6.1e-01;J3
155.5917;-60.1383;13.50;M             ; 4.1e-01;J3
159.0042; +5.1200;12.61;M4VE          ; 3.4e-01;J3
162.7171; +6.8081;11.66;M5V           ; 3.0e-01;J3
162.7171; +6.8081;11.61;M4.5          ; 3.2e-01;D24
162.7171; +6.8081;11.66;M5            ; 2.9e-01;C36
163.0167;+13.9967;13.90;M4            ; 3.3e-01;J3
164.2000;+56.0367;12.30;M1            ; 3.9e-01;J3
164.1208; +7.0117;13.53;M6VE          ; 1.3e-01;J3
164.1208; +7.0117;13.53;M8E           ; 1.4e-01;L6
164.1208; +7.0117;13.53;M8E           ; 1.3e-01;P30
164.1208; +7.0117;13.41;M6.5E         ; 1.6e-01;D24
164.1208; +7.0117;13.54;M8E           ; 1.9e-01;C36
165.0179;+22.8331;10.04;M3V           ; 4.2e-01;J3
165.0179;+22.8331;10.04;M3V           ; 4.3e-01;L6
169.0008;-57.5478;12.80;M             ; 4.3e-01;J3
171.0508;+21.3600;14.24;A0WD          ; 1.0e-02;J3
172.9437;-41.0464;12.90;M             ; 2.9e-01;J3
172.9437;-41.0464;11.50;M4.5E         ; 5.0e-01;D24
173.8621;-32.5400; 9.81;M2.5          ; 6.6e-01;D24
175.5462;+26.7067;10.68;M3V           ; 4.2e-01;J3
176.4287;-64.8414;11.48;AWD           ; 1.0e-02;J3
176.6788;-14.0144;13.40;M             ; 3.7e-01;J3
176.6788;-14.0144;11.65;M3.5          ; 4.0e-01;D24
176.9225;+78.6911;10.90;M4VI          ; 2.5e-01;J3
176.9225;+78.6911;10.90;M4IV          ; 3.2e-01;L6
176.9350; +0.8044;11.10;M5V           ; 2.1e-01;P30
176.9350; +0.8044;11.10;M5V           ; 2.3e-01;J3
176.9350; +0.8044;11.10;M5V           ; 2.1e-01;L6
176.9350; +0.8044;11.07;M4.5          ; 2.2e-01;D24
176.9350; +0.8044;11.08;M5            ; 2.5e-01;C36
178.3171; -7.3744;12.00;M4            ; 3.7e-01;J3
180.5750;+28.5867;15.10;M4            ; 3.0e-01;J3
182.0925; -0.4825;11.30;M1V           ; 4.8e-01;J3
182.0925; -0.4825;11.29;M2            ; 3.2e-01;D24
185.7508;+64.0308;11.40;M4V           ; 4.5e-01;J3
186.2187;-18.2422;11.70;M4V           ; 3.5e-01;J3
186.2187;-18.2422;11.70;M4V           ; 4.6e-01;L6
186.2187;-18.2422;11.29;M3.5          ; 2.8e-01;D24
187.1542;-71.4800;13.60;K             ; 2.9e-01;J3
187.1500;-71.4667;15.50;K             ; 1.8e-01;J3
187.2400; +8.4256;12.00;M5            ; 3.8e-01;J3
188.3208; +9.0217;13.21;M5.5E         ; 2.0e-01;L6
188.3208; +9.0217;13.16;M5.5          ; 1.7e-01;P30
188.3208; +9.0217;12.41;M5.5E         ; 2.0e-01;D24
188.3208; +9.0217;12.46;M4VE          ; 1.6e-01;J3
188.3208; +9.0217;13.40;M7            ; 1.4e-01;J3
188.7529; +9.8286;11.30;M4            ; 4.6e-01;J3
189.2033;-76.9550;12.80;M             ; 4.8e-01;J3
189.2033;-76.9550;10.94;M1            ; 3.7e-01;D24
189.4675;-52.0014;10.65;M3            ; 4.3e-01;D24
189.7183;+11.6961;11.30;M4V           ; 4.8e-01;J3
191.9858; +9.7514;11.40;M4V           ; 4.1e-01;L6
191.9858; +9.7514;11.40;M4V           ; 3.7e-01;J3
192.2617;+66.1103;10.80;M3V           ; 4.1e-01;J3
192.2617;+66.1103;10.80;M4            ; 3.5e-01;L6
195.0417; +3.4867;15.90;OWD           ; 1.0e-02;J3
196.1942;+55.9028;10.40;M0V           ; 5.7e-01;J3
196.2000;+55.9000;11.80;              ; 4.6e-01;J3
199.7362; -3.0717;10.78;K8.5          ; 2.8e-01;D24
202.0879; -2.3603;11.24;M4V           ; 4.3e-01;J3
202.0958; -2.3583;14.20;M5            ; 2.1e-01;J3
202.3375;+11.4567;13.50;M5            ; 4.4e-01;J3
202.3375;+11.4567;12.14;M5            ; 6.3e-01;C36
202.5125; -8.7100;14.18;M6            ; 3.5e-01;C36
203.1858;+16.8108;11.39;M4VE          ; 2.6e-01;J3
203.1750;+16.8000;11.50;M4VE          ; 4.5e-01;J3
204.1333; +3.6800;14.70;G8WD          ; 2.0e-02;J3
212.3633;-30.9303;11.81;M3            ; 4.2e-01;D24
213.2708;-12.0250;13.89;M5.5E         ; 2.8e-01;C36
214.7954; -7.3028;14.50;M4            ; 3.0e-01;J3
214.7954; -7.3028;13.45;M4            ; 1.9e-01;D24
215.0296; -9.6211;13.00;M5            ; 2.7e-01;J3
217.4287;-62.6794;10.70;M5VE          ; 1.5e-01;J3
217.4287;-62.6794;11.12;M6E           ; 1.9e-01;D24
217.7500;-54.1000;11.62;M3.5          ; 4.7e-01;D24
217.7550;-12.2961;11.90;M4            ; 4.6e-01;D24
217.7550;-12.2961;11.94;M4            ; 5.9e-01;C36
221.7708;-12.7400;12.10;M2            ; 2.7e-01;D24
223.4646;+23.5558;11.60;M5            ; 3.8e-01;J3
223.4750;+23.5500;12.20;M5            ; 3.3e-01;J3
224.8821;-44.0947;10.17;M0.5          ; 5.0e-01;D24
230.9667;+17.4783;15.00;M6            ; 2.4e-01;J3
230.9667;+17.4783;13.70;M5.5          ; 2.8e-01;D24
230.9667;+17.4783;13.68;M6            ; 2.2e-01;C36
233.0537;-41.2756; 9.32;M3.5          ; 4.8e-01;D24
233.8500;+17.7200;12.58;M2.5          ; 2.1e-01;D24
233.8292;+17.7117;12.00;M4            ; 3.5e-01;J3
233.8500;+17.7200;15.20;M6            ; 1.5e-01;J3
234.2417;-14.1267;13.80;M5            ; 3.3e-01;J3
235.5271;-19.4717;11.70;M5            ; 3.4e-01;J3
235.5271;-19.4717;11.82;M4E           ; 2.9e-01;D24
235.3192;+75.9928;11.60;M4            ; 4.5e-01;J3
239.4567;+59.2711;10.60;M0V           ; 6.2e-01;J3
240.4333;+30.1817;14.10;M4            ; 3.6e-01;J3
240.7250;+20.6017;14.20;M4            ; 2.8e-01;J3
245.7817;-24.7097;10.20;M2            ; 9.6e-01;D24
246.0387;+48.3528;10.27;M3V           ; 4.2e-01;J3
246.0387;+48.3528;10.27;M3V           ; 4.2e-01;L6
246.3525;+54.3042;10.40;M2V           ; 4.1e-01;J3
248.7846;+33.3017;11.03;M0V           ; 6.5e-01;J3
253.5500;+11.9147;11.20;M2V           ; 5.1e-01;J3
253.8550; -8.3225;11.70;M4IV          ; 2.1e-01;L6
253.8550; -8.3225;11.70;M4VI          ; 2.0e-01;J3
253.8987; -8.3933;     ;              ; 9.0e-02;D22
254.2000;-37.0667;13.50;M1            ; 4.2e-01;J3
254.4421;+13.2917;10.60;M0V           ; 6.9e-01;J3
256.7812;+21.5539;11.60;M3            ; 3.7e-01;J3
259.9758;+26.5008;11.36;M4            ; 4.6e-01;P30
259.9758;+26.5008;11.36;M4VE          ; 4.0e-01;J3
259.9758;+26.5008;11.42;M4E           ; 5.1e-01;C36
259.9750;+26.4967;12.92;M5            ; 3.2e-01;P30
259.9750;+26.4967;12.92;M5VE          ; 2.7e-01;J3
259.9750;+26.4967;13.02;M5E           ; 3.5e-01;C36
259.9696;+41.7139;11.50;M4            ; 4.1e-01;J3
263.8937;+61.6867; 9.95;M1            ; 6.1e-01;J3
264.4721;+18.5917; 9.62;M1V           ; 5.0e-01;J3
264.4721;+18.5917; 9.62;M1V           ; 5.0e-01;L6
264.1079;+68.3392;11.45;M4VE          ; 3.7e-01;J3
266.6425;-57.3192;12.90;M             ; 3.0e-01;J3
269.4521; +4.6933; 9.54;M5V           ;        ;O6
275.5375; +6.3417;13.80;M4            ; 3.9e-01;J3
280.0742;-10.4653;11.40;M0            ; 4.6e-01;J3
282.4558;-23.8361;10.46;              ;        ;O6
282.4558;-23.8361;10.60;M4VE          ; 2.4e-01;J3
282.4558;-23.8361;10.60;M4.5E         ; 1.3e-01;L6
282.5033; +3.0881;10.72;M2V           ; 5.3e-01;J3
282.9633;+16.5833;10.10;M2V           ; 5.6e-01;J3
283.4500;-38.6167;16.00;              ; 1.4e-01;J3
283.6337;-22.5814;11.30;K4            ; 6.2e-01;J3
283.8642; +8.4025;10.07;M2            ; 6.2e-01;P30
283.8642; +8.4025;10.07;M2VE          ; 5.2e-01;J3
285.8167;-13.5683;14.60;M5            ; 2.1e-01;J3
285.0417;+70.6600;13.18;AWD           ; 1.0e-02;J3
286.7767;+20.8906;10.76;M2IV          ; 3.5e-01;L6
286.7767;+20.8906;10.77;M2IV          ; 3.5e-01;L6
286.7767;+20.8906;10.77;M2VI          ; 2.7e-01;J3
286.8042;+20.8767;10.76;M2VI          ; 2.7e-01;J3
286.9250;+32.5350;11.80;M4V           ; 3.2e-01;J3
286.9375;+32.5483;12.10;M5            ; 2.9e-01;J3
288.0608; +2.8864;11.20;M4V           ; 4.0e-01;J3
290.1833;-45.5567;13.70;M7            ; 2.4e-01;J3
290.4642;+28.6661;11.50;M1            ; 4.9e-01;J3
296.6875;+27.1233;12.70;M4VE          ; 2.8e-01;J3
296.4500;+27.1167;13.70;              ; 2.1e-01;J3
299.1250; -1.0450;13.69;AWD           ; 1.0e-02;J3
300.9750;-65.6117;10.50;M             ; 5.3e-01;J3
300.9667;-65.6067;12.00;M             ; 3.9e-01;J3
300.8500;+29.8733;14.40;M6            ; 1.9e-01;J3
301.2592;+54.4342;12.10;M3VE          ; 4.2e-01;J3
307.8583;+38.5650;15.20;M6            ; 2.8e-01;J3
307.6333;+65.4494;10.43;M3V           ; 4.2e-01;J3
307.6333;+65.4494;10.43;M3V           ; 3.8e-01;L6
308.5912;+25.0639;11.53;AWD           ; 1.0e-02;J3
310.8375;+55.3583;15.20;M5VE          ; 1.7e-01;J3
311.2671;+44.4992;10.80;M3V           ; 4.7e-01;J3
312.9750;-79.3367;13.20;M             ; 4.3e-01;J3
313.9083;-14.0367;14.50;M5            ; 3.0e-01;J3
314.2021; -4.8469;11.87;M4VE          ; 4.1e-01;J3
088.3600;+34.4092;16.68;CWD           ; 2.0e-02;J3
314.3558;+22.3628;12.00;M3            ; 3.8e-01;J3
315.0221;+40.0703;10.10;M3VE          ; 5.5e-01;J3
315.0250;+40.0700;12.30;M3VE          ; 3.6e-01;J3
315.4942; -6.3186;11.00;M3            ; 4.6e-01;J3
316.2225;-16.9589;12.40;M3            ; 5.5e-01;J3
317.3225;-13.3025;10.70;M3            ; 4.6e-01;J3
322.4033;+17.6433;10.35;              ;        ;O6
322.4033;+17.6433;10.40;M4V           ; 3.9e-01;J3
322.4033;+17.6433;10.40;M4V           ; 5.0e-01;L6
322.8275; -9.7906;11.95;M4VE          ; 3.1e-01;L6
322.8275; -9.7906;11.95;M4VE          ; 2.9e-01;J3
322.8275; -9.7906;12.28;M8E           ; 2.5e-01;L6
324.1608;+39.4558;10.01;M0V           ; 5.6e-01;J3
324.1500;+39.4500;12.20;              ; 3.7e-01;J3
324.7542;-24.1600;14.60;M5            ; 3.0e-01;J3
328.4958;+41.7792;11.46;M2V           ; 5.7e-01;J3
330.5033;-19.4831;13.30;M             ; 3.9e-01;J3
330.4542;+16.4675;10.61;M4            ; 5.3e-01;J3
332.8754;+18.4261;10.10;M2V           ; 6.3e-01;J3
334.3292; -8.7867;13.50;M4VE          ; 2.2e-01;J3
334.3292; -8.7867;14.40;M7E           ; 1.7e-01;J3
335.8887;-57.2206;10.73;K             ; 5.7e-01;J3
335.8712;+32.4594;10.73;M0VE          ; 5.3e-01;J3
335.8750;+32.4500;11.60;              ; 5.0e-01;J3
337.1958; +5.8217;14.19;K6VI          ; 9.0e-02;J3
339.6333;-65.3800;12.90;K             ; 4.1e-01;J3
339.6412;-15.3006;12.18;              ;        ;O6
339.6412;-15.3006;12.18;M6VE          ; 1.7e-01;J3
339.6412;-15.3006;12.18;M6VE          ; 2.2e-01;L6
339.6412;-15.3006;12.18;M7E           ; 2.5e-01;P30
339.6412;-15.3006;12.18;M7E           ; 3.0e-01;C36
343.9396;-75.4586;11.70;K             ; 3.3e-01;J3
343.5833;+60.9933;14.20;M4            ; 3.4e-01;J3
346.5096;+42.3292;10.90;M0V           ; 6.3e-01;J3
346.5125;+42.3283;12.10;              ; 5.4e-01;J3
353.5137; +0.1794;11.10;M4            ; 4.5e-01;J3
355.4750;+44.1589;12.29;M6VE          ; 1.9e-01;L6
355.4750;+44.1589;12.29;M6VE          ; 1.6e-01;J3
355.4750;+44.1589;12.28;M6E           ; 2.3e-01;C36
356.4562;+36.2550; 9.90;M0V           ; 6.7e-01;J3
357.0129;+49.0158;12.10;M1            ; 3.7e-01;J3
047.7458;+73.7717;14.66;SDM6          ; 1.7e-01;C36
079.2250;-78.2767;11.90;M2            ; 3.4e-01;D24
134.5625;+19.7633;13.64;M5.5          ; 2.3e-01;D24
167.0250; -5.2300;12.55;DM6           ; 4.6e-01;C36
015.9583; +5.0767;12.36;DA6           ; 2.0e-02;C34
060.7879; +8.3719;14.63;DC            ; 1.7e-02;C34
332.4458;+14.4950;13.66;DA6           ; 8.6e-03;C34
303.4833; +6.7183;13.73;DQ7           ; 1.2e-01;C34
318.3667; +7.4350;14.27;DA            ; 1.8e-02;C34
340.7708; -1.4650;11.05;DA6           ; 3.2e-02;C34
352.2042; +5.2500;12.36;DAV4          ; 1.2e-02;C34
053.8167;+32.2033;10.81;DA            ; 2.4e-02;C34
065.0750;+36.2767;11.24;DA5           ; 2.7e-02;C34
069.1875;+27.1650;14.68;DC8           ; 1.5e-02;C34
153.7667; +8.1067;13.77;DZ            ; 1.3e-02;C34
160.4750;+14.2650;13.31;DQ7           ; 1.3e-02;C34
134.8083;+32.9500;13.65;DQ6           ; 4.3e-03;C34
149.4583;+24.5517;13.16;DA            ; 1.1e-02;C34
127.4500;+26.7783;14.81;              ; 1.1e-01;L6
127.6650;+32.6992;14.02;DAS           ; 8.6e-03;C34
154.0292; -1.3217;12.26;DA            ; 1.8e-02;C34
191.8125;+14.7067;11.96;DA5           ; 1.7e-02;C34
206.8500;+10.3583;13.61;DA7           ; 1.4e-02;C34
342.2667;+22.6067;12.99;DA5           ; 9.8e-03;C34
016.4083;+28.4917;14.01;M5            ; 2.8e-01;C36
026.2958;+31.5483;12.09;DA6           ; 1.6e-02;C34
032.8208;+39.9283;13.58;DA7           ; 1.3e-02;C34
041.6258; -2.4531;13.93;DA            ; 1.1e-02;C34
044.9958; +8.1967;13.71;DA8           ; 1.4e-02;C34
048.3417; +4.7717;13.78;              ; 1.0e-01;L6
048.3417; +4.7717;13.78;M5            ; 2.5e-01;C36
080.4292;+33.3683;10.91;DAE           ; 3.3e-02;C34
107.5625;+37.6750;13.78;DQ8           ; 1.1e-02;C34
118.8583;+36.3683;13.44;DA7           ; 1.0e-02;C34
328.1058; +2.3889;10.79;DA            ; 1.9e-02;C34
084.3000;+32.2550; 9.39;DA4           ; 9.3e-02;C34
087.8333; -0.1683;14.31;DQP8          ; 1.3e-02;C34
089.1125; +5.3733;14.58;DAP9          ; 1.4e-02;C34
088.4708;+12.4017;11.81;DC5           ; 6.4e-03;C34
095.2000; +6.7550;14.59;DC            ; 1.3e-02;C34
112.7042;+48.1850;14.72;DC            ; 3.1e-02;C34
101.8500; +2.5183;14.35;DA8           ; 8.0e-03;C34
104.3458; +2.6850;13.29;DC            ; 6.6e-03;C34
121.4042;+38.5400;12.51;DZ5           ; 8.7e-03;C34
125.0042;+38.5750;13.04;DA            ; 1.2e-02;C34
139.1750;+43.9983;13.10;DA6           ; 1.0e-02;C34
143.4250;+29.1917;13.42;DA6           ; 9.6e-03;C34
141.0667;+35.2817;11.28;DAV4          ; 2.2e-02;C34
173.7000;+46.8100;12.24;DA            ; 8.3e-03;C34
215.8792; -9.3133;12.39;DASS          ; 2.0e-02;C34
289.7417;+38.7267;14.24;DC8           ; 1.2e-02;C34
324.6875;+23.1550;12.15;DA5           ; 1.3e-02;C34
325.5333;+13.4783;10.40;DA7           ; 4.6e-02;C34
342.8500;+29.6633;13.99;DA9           ; 1.9e-02;C34
357.4792;+29.5667;14.08;DA9           ; 1.7e-02;C34
021.0917;+40.3967;14.65;DC9           ; 2.1e-02;C34
034.2379;+42.9728;14.79;DA9           ; 1.7e-02;C34
246.9750; +9.2100;14.21;DA8           ; 9.8e-03;C34
249.4208;+13.6800;13.98;DC            ; 1.2e-02;C34
250.3987;+15.2039;10.02;DA7           ; 7.5e-02;C34
242.8583;+13.3783;13.90;DA6           ; 7.7e-03;C34
257.0292; +2.9633;13.96;DZ7           ; 1.4e-02;C34
        ;        ;12.38;DC5           ; 9.8e-03;C34
264.6750; +5.2717;12.73;DA6           ; 2.4e-02;C34
315.5125;+19.2183;13.50;DA8           ; 1.4e-02;C34
176.4917;+31.8250;11.25;DAN           ; 1.5e-02;C34
184.3750;+32.0833;14.13;DC7           ; 9.6e-03;C34
343.9500; -7.8333;13.47;DA8           ; 1.7e-02;C34
348.8292; -2.1633;14.26;DZ8           ; 1.4e-02;C34
001.6792; -7.5450;13.76;              ; 1.1e-01;L6
142.3417; -4.1700;11.51;DA            ; 1.7e-02;C34
